INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
B A M,BROOKLYN,02 BROOKLYN,Precinct 88,35,3021110015,12/28/2021,Open,Property Research Required,,990400,189431,,,,,,,
GRAND STREET,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,12/13/2021,Open,Property Research Required,,,,,,,,,,
21-44 44 ROAD,QUEENS,02 QUEENS,Precinct 108,26,4004380045,12/20/2021,Open,Graffiti Reported,,999506,211952,,,,,,,
123 1/2 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004230019,12/01/2021,Open,Site downloaded for cleaning,,986069,201204,,,,,,,
11-22 44 ROAD,QUEENS,02 QUEENS,Precinct 108,26,4004470030,11/02/2021,Open,Graffiti Reported,,998362,212242,,,,,,,
124B ALLEN STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,10/16/2021,Open,Property Research Required,,,,,,,,,,
erskine place De Reimer Ave,BRONX,Unspecified BRONX,Unspecified,,,09/21/2021,Open,Property Research Required,,,,,,,,,,
erskine place,BRONX,Unspecified BRONX,Unspecified,,,09/21/2021,Open,Property Research Required,,,,,,,,,,
1244 U AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073450007,09/29/2021,Open,Site downloaded for cleaning,,995661,157346,,,,,,,
215 BROADWAY,BROOKLYN,Unspecified BROOKLYN,Unspecified,,3024460056,09/27/2021,Open,Site downloaded for cleaning,,,,,,,,,,
24 A AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,02,1003980066,08/27/2021,Open,Site downloaded for cleaning,,988221,202722,,,,,,,
479/ 61 ST,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/21/2021,Open,Property Research Required,,,,,,,,,,
406/ 45 ST,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/05/2021,Open,Property Research Required,,,,,,,,,,
6901/ 3 AV,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,09/03/2021,Open,Property Research Required,,,,,,,,,,
8609/ 4 AV,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,09/02/2021,Open,Property Research Required,,,,,,,,,,
174 KICKERBOCKER AVENUE,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,06/24/2021,Open,Property Research Required,,,,,,,,,,
5518/ 5 AV,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/19/2021,Open,Property Research Required,,,,,,,,,,
West 45th between 10th and 11th Ave Port Authority MTA barrier,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,06/18/2021,Open,Property Research Required,,,,,,,,,,
210/ 39 ST,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/17/2021,Open,Property Research Required,,,,,,,,,,
712/ 47 ST,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/15/2021,Open,Property Research Required,,,,,,,,,,
640/ 64 ST,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/08/2021,Open,Property Research Required,,,,,,,,,,
555/ 86 ST,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,08/02/2021,Open,Property Research Required,,,,,,,,,,
1865 east fremont avenue,BRONX,Unspecified BRONX,Unspecified,,,08/13/2021,Open,Property Research Required,,,,,,,,,,
Fort Washington Avenue and west 173 street,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,06/27/2021,Open,Property Research Required,,,,,,,,,,
218 KICKERBOCKER AVENUE,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,06/24/2021,Open,Property Research Required,,,,,,,,,,
435 Bond Street,BROOKLYN,Unspecified BROOKLYN,Unspecified,,,07/07/2021,Open,Property Research Required,,,,,,,,,,
